127.0.0.1 - - [14/Jun/2023:16:41:37 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [14/Jun/2023:16:41:38 +0900] "GET /web_day1/index.html HTTP/1.1" 200 277
0:0:0:0:0:0:0:1 - - [14/Jun/2023:16:41:38 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [14/Jun/2023:16:42:40 +0900] "GET /web_day1/index.html HTTP/1.1" 200 278
0:0:0:0:0:0:0:1 - - [14/Jun/2023:16:43:16 +0900] "GET /web_day1/index.html HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [14/Jun/2023:16:45:26 +0900] "GET /web_day1/index.html HTTP/1.1" 200 253
0:0:0:0:0:0:0:1 - - [14/Jun/2023:16:50:18 +0900] "GET /web_day1/index.html HTTP/1.1" 200 349
0:0:0:0:0:0:0:1 - - [14/Jun/2023:16:50:40 +0900] "GET /web_day1/index.html HTTP/1.1" 200 370
0:0:0:0:0:0:0:1 - - [14/Jun/2023:16:52:18 +0900] "GET /web_day1/index.html HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [14/Jun/2023:16:52:53 +0900] "GET /web_day1/index.html HTTP/1.1" 200 478
0:0:0:0:0:0:0:1 - - [14/Jun/2023:16:52:55 +0900] "GET /web_day1/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2023:16:52:56 +0900] "GET /web_day1/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2023:16:53:44 +0900] "GET /web_day1/index.html HTTP/1.1" 200 501
0:0:0:0:0:0:0:1 - - [14/Jun/2023:16:54:11 +0900] "GET /web_day1/index.html HTTP/1.1" 200 523
0:0:0:0:0:0:0:1 - - [14/Jun/2023:16:54:11 +0900] "GET /web_day1/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2023:16:55:03 +0900] "GET /web_day1/index.html HTTP/1.1" 200 533
